platform,post_id_hash,brand,market_group,country_or_region,price_tier,product_category,keyword,publish_time,collect_time,title,description,hashtags,like_count,comment_count,collect_count,share_count,author_follower_bucket,is_sponsored_hint,selling_points,pain_points,sentiment_score,sentiment,engagement_score,log_engagement,save_like_ratio,comment_like_ratio,engagement_percentile,is_high_engagement
xiaohongshu,3f39bbb7eefa600a33ff,CLIO,K-beauty,South Korea,mid,base,CLIO 气垫 测评,2026-05-01 00:00:00+00:00,2026-06-30 00:00:00+00:00,CLIO 气垫｜遮瑕力在线,通勤使用8小时记录，遮瑕力在线。敏感肌先试用,#气垫 #K-beauty,278,13,52,16,10k-100k,False,coverage,none,0,neutral,456,6.124683390894205,0.18705035971223022,0.046762589928057555,0.5660377358490566,False
xiaohongshu,fa6f36a27d8ef3498a2a,CLIO,K-beauty,South Korea,mid,base,CLIO 粉底液 测评,2026-05-18 00:00:00+00:00,2026-06-30 00:00:00+00:00,CLIO 粉底液｜学生党平替,通勤使用8小时记录，学生党平替。下午会暗沉,#粉底液 #K-beauty,1293,70,334,74,1k-10k,False,value,oxidation,-1,negative,2323,7.751045117971802,0.25831399845320957,0.054137664346481054,0.9811320754716981,True
douyin,f1076c7c63137867d018,CLIO,K-beauty,South Korea,mid,base,CLIO 气垫 测评,2026-02-07 00:00:00+00:00,2026-06-30 00:00:00+00:00,CLIO 气垫｜轻薄服帖,通勤使用8小时记录，轻薄服帖。敏感肌先试用,#气垫 #K-beauty,882,101,228,40,10k-100k,False,texture,none,1,positive,1660,7.415175109613295,0.2585034013605442,0.1145124716553288,0.897196261682243,False
douyin,ffb796bcc3e641b1121d,CLIO,K-beauty,South Korea,mid,base,CLIO 粉饼 测评,2026-02-18 00:00:00+00:00,2026-06-30 00:00:00+00:00,CLIO 粉饼｜轻薄服帖,通勤使用8小时记录，轻薄服帖。,#粉饼 #K-beauty,325,32,90,12,10k-100k,False,texture,none,1,positive,605,6.406879986069314,0.27692307692307694,0.09846153846153846,0.5887850467289719,False
douyin,d02f3aef743c5c90c169,CLIO,K-beauty,South Korea,mid,base,CLIO 粉饼 测评,2026-03-02 00:00:00+00:00,2026-06-30 00:00:00+00:00,CLIO 粉饼｜遮瑕力在线,通勤使用8小时记录，遮瑕力在线。干皮可能拔干,#粉饼 #K-beauty,216,15,47,17,10k-100k,False,coverage,dryness,-1,negative,391,5.971261839790462,0.2175925925925926,0.06944444444444445,0.3177570093457944,False
douyin,a4985e1d2c5fae5af0d8,CLIO,K-beauty,South Korea,mid,base,CLIO 粉底液 测评,2026-05-19 00:00:00+00:00,2026-06-30 00:00:00+00:00,CLIO 粉底液｜轻薄服帖,通勤使用8小时记录，轻薄服帖。但有点卡粉,#粉底液 #K-beauty,488,39,137,45,10k-100k,False,texture,dryness,0,neutral,975,6.883462586413092,0.2807377049180328,0.07991803278688525,0.7757009345794392,False
douyin,346dc1a988b298e9b4c6,CLIO,K-beauty,South Korea,mid,base,CLIO 气垫 测评,2026-01-07 00:00:00+00:00,2026-06-30 00:00:00+00:00,CLIO 气垫｜遮瑕力在线,通勤使用8小时记录，遮瑕力在线。,#气垫 #K-beauty,366,15,129,7,10k-100k,False,coverage,none,0,neutral,675,6.516193076042964,0.3524590163934426,0.040983606557377046,0.6542056074766355,False
xiaohongshu,6809d35bf0af084043c9,dasique,K-beauty,South Korea,mid,lip,dasique 唇釉 测评,2026-03-30 00:00:00+00:00,2026-06-30 00:00:00+00:00,dasique 唇釉｜遮瑕力在线,通勤使用8小时记录，遮瑕力在线。但有点卡粉,#唇釉 #K-beauty,28,1,4,2,100k-1m,False,coverage,dryness,-1,negative,44,3.8066624897703196,0.14285714285714285,0.03571428571428571,0.013513513513513514,False
xiaohongshu,07e1db0f12fb0c5eea59,dasique,K-beauty,South Korea,mid,eye,dasique 眼影 测评,2026-04-05 00:00:00+00:00,2026-06-30 00:00:00+00:00,dasique 眼影｜遮瑕力在线,通勤使用8小时记录，遮瑕力在线。,#眼影 #K-beauty,40,1,13,3,100k-1m,False,coverage,none,0,neutral,77,4.356708826689592,0.325,0.025,0.12,False
xiaohongshu,364c1b206f3e6ae7a0ac,dasique,K-beauty,South Korea,mid,eye,dasique 眉笔 测评,2026-05-17 00:00:00+00:00,2026-06-30 00:00:00+00:00,dasique 眉笔｜持妆实测,通勤使用8小时记录，持妆实测。略微沾杯,#眉笔 #K-beauty,56,5,20,2,100k-1m,False,long_wear,transfer,-1,negative,112,4.727387818712341,0.35714285714285715,0.08928571428571429,0.16,False
xiaohongshu,4a173945b77082c3c1d6,dasique,K-beauty,South Korea,mid,lip,dasique 唇泥 测评,2026-06-15 00:00:00+00:00,2026-06-30 00:00:00+00:00,dasique 唇泥｜遮瑕力在线,通勤使用8小时记录，遮瑕力在线。下午会暗沉,#唇泥 #K-beauty,35,1,12,0,10k-100k,False,coverage,oxidation,-1,negative,61,4.127134385045092,0.34285714285714286,0.02857142857142857,0.02702702702702703,False
xiaohongshu,b973440808960f2f81e1,dasique,K-beauty,South Korea,mid,eye,dasique 眼影 测评,2026-02-08 00:00:00+00:00,2026-06-30 00:00:00+00:00,dasique 眼影｜轻薄服帖,通勤使用8小时记录，轻薄服帖。敏感肌先试用,#眼影 #K-beauty,561,54,191,10,1k-10k,False,texture,none,1,positive,1081,6.9865664594064265,0.3404634581105169,0.0962566844919786,0.88,False
douyin,aa9684c62f611c8177f7,dasique,K-beauty,South Korea,mid,eye,dasique 眉笔 测评,2026-03-15 00:00:00+00:00,2026-06-30 00:00:00+00:00,dasique 眉笔｜轻薄服帖,通勤使用8小时记录，轻薄服帖。下午会暗沉,#眉笔 #K-beauty,112,6,29,3,10k-100k,False,texture,oxidation,0,neutral,191,5.2574953720277815,0.25892857142857145,0.05357142857142857,0.13043478260869565,False
douyin,5eca88ba4298d5841563,dasique,K-beauty,South Korea,mid,eye,dasique 眼影 测评,2026-04-06 00:00:00+00:00,2026-06-30 00:00:00+00:00,dasique 眼影｜黄皮显白,通勤使用8小时记录，黄皮显白。敏感肌先试用,#眼影 #K-beauty,1245,122,180,119,10k-100k,False,brightening,none,1,positive,2206,7.699389406256737,0.14457831325301204,0.09799196787148594,0.9130434782608695,True
douyin,b01aca0f52fdc8b22fd3,dasique,K-beauty,South Korea,mid,lip,dasique 唇泥 测评,2026-06-26 00:00:00+00:00,2026-06-30 00:00:00+00:00,dasique 唇泥｜持妆实测,通勤使用8小时记录，持妆实测。敏感肌先试用,#唇泥 #K-beauty,367,9,30,17,10k-100k,False,long_wear,none,0,neutral,496,6.208590026096629,0.08174386920980926,0.02452316076294278,0.4666666666666667,False
douyin,ceb9a5f04339585dc912,dasique,K-beauty,South Korea,mid,eye,dasique 眼影 测评,2026-05-12 00:00:00+00:00,2026-06-30 00:00:00+00:00,dasique 眼影｜持妆实测,通勤使用8小时记录，持妆实测。下午会暗沉,#眼影 #K-beauty,540,63,196,50,1k-10k,False,long_wear,oxidation,-1,negative,1208,7.097548850614793,0.362962962962963,0.11666666666666667,0.8260869565217391,False
douyin,1ecd94f9ffb35cf46d60,dasique,K-beauty,South Korea,mid,eye,dasique 睫毛膏 测评,2026-06-12 00:00:00+00:00,2026-06-30 00:00:00+00:00,dasique 睫毛膏｜持妆实测,通勤使用8小时记录，持妆实测。,#睫毛膏 #K-beauty,2391,195,291,70,1k-10k,False,long_wear,none,0,neutral,3573,8.181440695719374,0.12170639899623588,0.08155583437892096,0.9565217391304348,True
xiaohongshu,a543d8a179df4dc3ea5f,fwee,K-beauty,South Korea,mid,lip,fwee 唇泥 测评,2026-05-03 00:00:00+00:00,2026-06-30 00:00:00+00:00,fwee 唇泥｜黄皮显白,通勤使用8小时记录，黄皮显白。干皮可能拔干,#唇泥 #K-beauty,472,42,184,32,1k-10k,False,brightening,dryness,0,neutral,1020,6.928537818164665,0.3898305084745763,0.08898305084745763,0.8243243243243243,False
xiaohongshu,5df115703f259b66db32,fwee,K-beauty,South Korea,mid,lip,fwee 唇泥 测评,2026-02-01 00:00:00+00:00,2026-06-30 00:00:00+00:00,fwee 唇泥｜遮瑕力在线,通勤使用8小时记录，遮瑕力在线。,#唇泥 #K-beauty,273,26,58,10,10k-100k,False,coverage,none,0,neutral,471,6.156978985585555,0.21245421245421245,0.09523809523809523,0.5,False
xiaohongshu,18a4877150d016ce73b3,fwee,K-beauty,South Korea,mid,lip,fwee 口红 测评,2026-04-26 00:00:00+00:00,2026-06-30 00:00:00+00:00,fwee 口红｜水光奶油肌,通勤使用8小时记录，水光奶油肌。,#口红 #K-beauty,89,7,16,4,100k-1m,False,texture,none,0,neutral,147,4.997212273764115,0.1797752808988764,0.07865168539325842,0.18243243243243243,False
xiaohongshu,f9927799907a8fb4ea30,fwee,K-beauty,South Korea,mid,lip,fwee 唇釉 测评,2026-04-08 00:00:00+00:00,2026-06-30 00:00:00+00:00,fwee 唇釉｜遮瑕力在线,通勤使用8小时记录，遮瑕力在线。干皮可能拔干,#唇釉 #K-beauty,478,51,77,39,10k-100k,False,coverage,dryness,-1,negative,851,6.747586526829315,0.16108786610878661,0.10669456066945607,0.7702702702702703,False
xiaohongshu,b7adde89244419a3c493,fwee,K-beauty,South Korea,mid,lip,fwee 唇泥 测评,2026-05-18 00:00:00+00:00,2026-06-30 00:00:00+00:00,fwee 唇泥｜遮瑕力在线,通勤使用8小时记录，遮瑕力在线。干皮可能拔干,#唇泥 #K-beauty,146,8,14,6,100k-1m,False,coverage,dryness,-1,negative,208,5.342334251964811,0.0958904109589041,0.0547945205479452,0.28378378378378377,False
douyin,82c370aaf63dbd89c522,fwee,K-beauty,South Korea,mid,lip,fwee 口红 测评,2026-03-27 00:00:00+00:00,2026-06-30 00:00:00+00:00,fwee 口红｜遮瑕力在线,通勤使用8小时记录，遮瑕力在线。但有点卡粉,#口红 #K-beauty,130,10,38,3,1k-10k,False,coverage,dryness,-1,negative,235,5.4638318050256105,0.2923076923076923,0.07692307692307693,0.24,False
douyin,4ca44d82765aa1e9b4a4,fwee,K-beauty,South Korea,mid,lip,fwee 口红 测评,2026-04-10 00:00:00+00:00,2026-06-30 00:00:00+00:00,fwee 口红｜遮瑕力在线,通勤使用8小时记录，遮瑕力在线。略微沾杯,#口红 #K-beauty,285,21,57,23,100k-1m,False,coverage,transfer,-1,negative,510,6.236369590203704,0.2,0.07368421052631578,0.49333333333333335,False
douyin,6c1daa5d803719d83ac4,fwee,K-beauty,South Korea,mid,lip,fwee 唇泥 测评,2026-04-19 00:00:00+00:00,2026-06-30 00:00:00+00:00,fwee 唇泥｜持妆实测,通勤使用8小时记录，持妆实测。略微沾杯,#唇泥 #K-beauty,238,17,64,6,1k-10k,False,long_wear,transfer,-1,negative,418,6.037870919922137,0.2689075630252101,0.07142857142857142,0.4266666666666667,False
douyin,1feaaedd672d93c1719f,fwee,K-beauty,South Korea,mid,lip,fwee 唇釉 测评,2026-02-08 00:00:00+00:00,2026-06-30 00:00:00+00:00,fwee 唇釉｜水光奶油肌,通勤使用8小时记录，水光奶油肌。下午会暗沉,#唇釉 #K-beauty,55,4,18,3,100k-1m,False,texture,oxidation,-1,negative,108,4.6913478822291435,0.32727272727272727,0.07272727272727272,0.04,False
douyin,563ebcd30461272cb1be,fwee,K-beauty,South Korea,mid,lip,fwee 唇釉 测评,2026-01-16 00:00:00+00:00,2026-06-30 00:00:00+00:00,fwee 唇釉｜轻薄服帖,通勤使用8小时记录，轻薄服帖。,#唇釉 #K-beauty,354,32,102,17,1k-10k,False,texture,none,1,positive,673,6.513230110912307,0.288135593220339,0.0903954802259887,0.6533333333333333,False
xiaohongshu,307a45e7fae174654fbe,TIRTIR,K-beauty,South Korea,mid,base,TIRTIR 粉底液 测评,2026-01-09 00:00:00+00:00,2026-06-30 00:00:00+00:00,TIRTIR 粉底液｜水光奶油肌,通勤使用8小时记录，水光奶油肌。但有点卡粉,#粉底液 #K-beauty,477,37,110,33,10k-100k,False,texture,dryness,-1,negative,870,6.769641976852503,0.23060796645702306,0.07756813417190776,0.8301886792452831,False
xiaohongshu,49caf1873c4f98848d3b,TIRTIR,K-beauty,South Korea,mid,base,TIRTIR 粉底液 测评,2026-06-29 00:00:00+00:00,2026-06-30 00:00:00+00:00,TIRTIR 粉底液｜黄皮显白,通勤使用8小时记录，黄皮显白。下午会暗沉,#粉底液 #K-beauty,46,2,12,2,1k-10k,False,brightening,oxidation,0,neutral,80,4.394449154672439,0.2608695652173913,0.043478260869565216,0.0660377358490566,False
xiaohongshu,0aaa6c1faac5f95c8e67,TIRTIR,K-beauty,South Korea,mid,base,TIRTIR 粉底液 测评,2026-01-31 00:00:00+00:00,2026-06-30 00:00:00+00:00,TIRTIR 粉底液｜水光奶油肌,通勤使用8小时记录，水光奶油肌。下午会暗沉,#粉底液 #K-beauty,417,46,91,31,1k-10k,False,texture,oxidation,-1,negative,784,6.665683717782408,0.2182254196642686,0.11031175059952038,0.8018867924528302,False
xiaohongshu,3303c22068032ba01db9,TIRTIR,K-beauty,South Korea,mid,base,TIRTIR 粉饼 测评,2026-01-15 00:00:00+00:00,2026-06-30 00:00:00+00:00,TIRTIR 粉饼｜黄皮显白,通勤使用8小时记录，黄皮显白。下午会暗沉,#粉饼 #K-beauty,181,16,12,12,10k-100k,False,brightening,oxidation,0,neutral,273,5.6131281063880705,0.06629834254143646,0.08839779005524862,0.3584905660377358,False
xiaohongshu,4cb1be247f3ecfeaf07a,TIRTIR,K-beauty,South Korea,mid,base,TIRTIR 气垫 测评,2026-03-28 00:00:00+00:00,2026-06-30 00:00:00+00:00,TIRTIR 气垫｜水光奶油肌,通勤使用8小时记录，水光奶油肌。但有点卡粉,#气垫 #K-beauty,321,9,112,16,100k-1m,False,texture,dryness,-1,negative,611,6.416732282512326,0.34890965732087226,0.028037383177570093,0.6981132075471698,False
douyin,9c90c90504c75ced908c,TIRTIR,K-beauty,South Korea,mid,base,TIRTIR 粉饼 测评,2026-01-28 00:00:00+00:00,2026-06-30 00:00:00+00:00,TIRTIR 粉饼｜持妆实测,通勤使用8小时记录，持妆实测。但有点卡粉,#粉饼 #K-beauty,178,20,40,11,100k-1m,False,long_wear,dryness,-1,negative,331,5.805134968916488,0.2247191011235955,0.11235955056179775,0.27102803738317754,False
douyin,ed6eab5d7a1fdb36a2c6,TIRTIR,K-beauty,South Korea,mid,base,TIRTIR 粉饼 测评,2026-02-01 00:00:00+00:00,2026-06-30 00:00:00+00:00,TIRTIR 粉饼｜轻薄服帖,通勤使用8小时记录，轻薄服帖。敏感肌先试用,#粉饼 #K-beauty,443,26,26,17,100k-1m,False,texture,none,1,positive,598,6.395261598115449,0.05869074492099323,0.05869074492099323,0.5747663551401869,False
douyin,2055c970a33763872f3b,TIRTIR,K-beauty,South Korea,mid,base,TIRTIR 粉底液 测评,2026-06-01 00:00:00+00:00,2026-06-30 00:00:00+00:00,TIRTIR 粉底液｜轻薄服帖,通勤使用8小时记录，轻薄服帖。但有点卡粉,#粉底液 #K-beauty,105,5,24,3,1k-10k,False,texture,dryness,0,neutral,172,5.153291594497779,0.22857142857142856,0.047619047619047616,0.14953271028037382,False
douyin,577df6d5c0c4db91f37b,TIRTIR,K-beauty,South Korea,mid,base,TIRTIR 粉底液 测评,2026-02-25 00:00:00+00:00,2026-06-30 00:00:00+00:00,TIRTIR 粉底液｜遮瑕力在线,通勤使用8小时记录，遮瑕力在线。但有点卡粉,#粉底液 #K-beauty,686,34,85,18,10k-100k,False,coverage,dryness,-1,negative,978,6.88653164253051,0.1239067055393586,0.04956268221574344,0.7850467289719626,False
douyin,da580dc9cf36f18e1556,TIRTIR,K-beauty,South Korea,mid,base,TIRTIR 粉饼 测评,2026-02-09 00:00:00+00:00,2026-06-30 00:00:00+00:00,TIRTIR 粉饼｜水光奶油肌,通勤使用8小时记录，水光奶油肌。略微沾杯,#粉饼 #K-beauty,2091,55,647,113,10k-100k,False,texture,transfer,-1,negative,3834,8.251924713801357,0.30942132950741275,0.026303204208512673,0.9813084112149533,True
xiaohongshu,7c69b25d86fe9bbe4487,JUNG SAEM MOOL,K-beauty,South Korea,premium,base,JUNG SAEM MOOL 气垫 测评,2026-01-15 00:00:00+00:00,2026-06-30 00:00:00+00:00,JUNG SAEM MOOL 气垫｜学生党平替,通勤使用8小时记录，学生党平替。,#气垫 #K-beauty,1084,94,115,94,1k-10k,False,value,none,0,neutral,1784,7.487173694213739,0.10608856088560886,0.08671586715867159,0.9339622641509434,True
xiaohongshu,7b4bedae0758319f94e1,JUNG SAEM MOOL,K-beauty,South Korea,premium,base,JUNG SAEM MOOL 粉底液 测评,2026-01-16 00:00:00+00:00,2026-06-30 00:00:00+00:00,JUNG SAEM MOOL 粉底液｜学生党平替,通勤使用8小时记录，学生党平替。干皮可能拔干,#粉底液 #K-beauty,145,4,57,5,1k-10k,False,value,dryness,-1,negative,282,5.645446897643238,0.3931034482758621,0.027586206896551724,0.39622641509433965,False
xiaohongshu,94c1288e830b0e165b68,JUNG SAEM MOOL,K-beauty,South Korea,premium,base,JUNG SAEM MOOL 粉底液 测评,2026-04-07 00:00:00+00:00,2026-06-30 00:00:00+00:00,JUNG SAEM MOOL 粉底液｜学生党平替,通勤使用8小时记录，学生党平替。,#粉底液 #K-beauty,482,13,73,9,10k-100k,False,value,none,0,neutral,681,6.525029657843462,0.15145228215767634,0.026970954356846474,0.7452830188679245,False
xiaohongshu,caa6641d17a345c060d2,JUNG SAEM MOOL,K-beauty,South Korea,premium,base,JUNG SAEM MOOL 粉饼 测评,2026-01-05 00:00:00+00:00,2026-06-30 00:00:00+00:00,JUNG SAEM MOOL 粉饼｜黄皮显白,通勤使用8小时记录，黄皮显白。,#粉饼 #K-beauty,81,2,29,5,100k-1m,False,brightening,none,1,positive,158,5.0689042022202315,0.35802469135802467,0.024691358024691357,0.1792452830188679,False
xiaohongshu,53eb6fab5e02706856d5,JUNG SAEM MOOL,K-beauty,South Korea,premium,base,JUNG SAEM MOOL 粉底液 测评,2026-02-10 00:00:00+00:00,2026-06-30 00:00:00+00:00,JUNG SAEM MOOL 粉底液｜轻薄服帖,通勤使用8小时记录，轻薄服帖。但有点卡粉,#粉底液 #K-beauty,64,5,9,2,100k-1m,False,texture,dryness,0,neutral,98,4.59511985013459,0.140625,0.078125,0.09433962264150944,False
douyin,555cfee3e26556d0773d,JUNG SAEM MOOL,K-beauty,South Korea,premium,base,JUNG SAEM MOOL 气垫 测评,2026-06-03 00:00:00+00:00,2026-06-30 00:00:00+00:00,JUNG SAEM MOOL 气垫｜轻薄服帖,通勤使用8小时记录，轻薄服帖。,#气垫 #K-beauty,79,8,21,1,100k-1m,False,texture,none,1,positive,140,4.948759890378168,0.26582278481012656,0.10126582278481013,0.09345794392523364,False
douyin,d4dba8fa18fcfd04625c,JUNG SAEM MOOL,K-beauty,South Korea,premium,base,JUNG SAEM MOOL 粉底液 测评,2026-01-09 00:00:00+00:00,2026-06-30 00:00:00+00:00,JUNG SAEM MOOL 粉底液｜黄皮显白,通勤使用8小时记录，黄皮显白。,#粉底液 #K-beauty,158,15,36,12,100k-1m,False,brightening,none,1,positive,296,5.6937321388027,0.22784810126582278,0.0949367088607595,0.2616822429906542,False
douyin,a6123b93fb28a033f73f,JUNG SAEM MOOL,K-beauty,South Korea,premium,base,JUNG SAEM MOOL 粉底液 测评,2026-02-15 00:00:00+00:00,2026-06-30 00:00:00+00:00,JUNG SAEM MOOL 粉底液｜学生党平替,通勤使用8小时记录，学生党平替。敏感肌先试用,#粉底液 #K-beauty,1256,136,401,119,100k-1m,False,value,none,0,neutral,2687,7.89655270164304,0.3192675159235669,0.10828025477707007,0.9345794392523364,True
douyin,cdb8bdff7cbf2635258b,JUNG SAEM MOOL,K-beauty,South Korea,premium,base,JUNG SAEM MOOL 气垫 测评,2026-06-07 00:00:00+00:00,2026-06-30 00:00:00+00:00,JUNG SAEM MOOL 气垫｜轻薄服帖,通勤使用8小时记录，轻薄服帖。但有点卡粉,#气垫 #K-beauty,293,18,99,17,1k-10k,False,texture,dryness,0,neutral,578,6.361302477572996,0.3378839590443686,0.06143344709897611,0.5233644859813084,False
douyin,2c6b2a312fd504ab401d,JUNG SAEM MOOL,K-beauty,South Korea,premium,base,JUNG SAEM MOOL 粉底液 测评,2026-06-22 00:00:00+00:00,2026-06-30 00:00:00+00:00,JUNG SAEM MOOL 粉底液｜黄皮显白,通勤使用8小时记录，黄皮显白。敏感肌先试用,#粉底液 #K-beauty,403,15,86,8,1k-10k,False,brightening,none,1,positive,629,6.4457198193855785,0.21339950372208435,0.03722084367245657,0.6074766355140186,False
xiaohongshu,79d8bb707b281e8648d0,3CE,K-beauty,South Korea,mid,lip,3CE 唇釉 测评,2026-04-20 00:00:00+00:00,2026-06-30 00:00:00+00:00,3CE 唇釉｜黄皮显白,通勤使用8小时记录，黄皮显白。略微沾杯,#唇釉 #K-beauty,46,5,16,4,100k-1m,False,brightening,transfer,0,neutral,100,4.61512051684126,0.34782608695652173,0.10869565217391304,0.08108108108108109,False
xiaohongshu,2552e06294121a17d68a,3CE,K-beauty,South Korea,mid,lip,3CE 唇泥 测评,2026-01-23 00:00:00+00:00,2026-06-30 00:00:00+00:00,3CE 唇泥｜轻薄服帖,通勤使用8小时记录，轻薄服帖。,#唇泥 #K-beauty,244,17,18,4,1k-10k,False,texture,none,1,positive,326,5.7899601708972535,0.07377049180327869,0.06967213114754098,0.43243243243243246,False
xiaohongshu,44ebb6bfc003530a14f1,3CE,K-beauty,South Korea,mid,lip,3CE 唇釉 测评,2026-01-28 00:00:00+00:00,2026-06-30 00:00:00+00:00,3CE 唇釉｜轻薄服帖,通勤使用8小时记录，轻薄服帖。略微沾杯,#唇釉 #K-beauty,148,9,48,12,100k-1m,False,texture,transfer,0,neutral,298,5.700443573390687,0.32432432432432434,0.060810810810810814,0.40540540540540543,False
